radiologist,inferred_pathology,volume_category,radiomic_category,with_segmentation,correct_prediction,confidence,response_time
Radiologist #9,Presurgical glioma,Medium,Irregular/Complex Single,False,0,5,63.289870262146003
Radiologist #9,Meningioma,Medium,Well-circumscribed Single,False,1,9,33.28664755821228
Radiologist #9,Presurgical glioma,,,False,0,6,37.539839029312127
Radiologist #9,Presurgical glioma,Very Large,Infiltrative Single,False,1,8,23.768117904663089
Radiologist #9,Postoperative glioma resection,Very Large,Infiltrative Single,False,1,9,19.996684551239014
Radiologist #9,Presurgical glioma,Micro,Infiltrative Single,False,0,7,44.304204940795898
Radiologist #9,Metastases,Large,Multiple,False,1,9,32.564106702804565
Radiologist #9,Presurgical glioma,Very Large,Infiltrative Single,False,1,9,38.576619863510132
Radiologist #9,Paediatric presurgical tumour,Medium,Infiltrative Single,False,1,9,25.938647031784058
Radiologist #9,Presurgical glioma,Very Large,Infiltrative Single,False,1,9,15.514402627944946
Radiologist #9,Presurgical glioma,,,False,1,7,32.015548229217529
Radiologist #9,Postoperative glioma resection,,,False,1,8,25.082650661468502
Radiologist #9,Presurgical glioma,Large,Infiltrative Single,False,1,7,39.957887887954712
Radiologist #9,Postoperative glioma resection,,,False,1,5,51.243274927139282
Radiologist #9,Presurgical glioma,,,False,1,5,15.60519814491272
Radiologist #9,Presurgical glioma,,,False,1,8,31.336126089096069
Radiologist #9,Paediatric presurgical tumour,,,False,0,8,25.34159517288208
Radiologist #9,Presurgical glioma,,,False,1,8,18.842499971389771
Radiologist #9,Presurgical glioma,,,False,0,5,56.392694234848022
Radiologist #9,Paediatric presurgical tumour,,,False,1,6,26.232699394226078
Radiologist #9,Presurgical glioma,,,False,0,9,39.052380084991455
Radiologist #9,Presurgical glioma,Micro,Single Lesion (Unclassified),False,0,5,29.505166053771973
Radiologist #9,Postoperative glioma resection,,,False,0,8,19.591979026794437
Radiologist #9,Presurgical glioma,,,False,1,8,25.949108600616452
Radiologist #9,Presurgical glioma,,,False,1,7,18.380052089691159
Radiologist #9,Presurgical glioma,Micro,Irregular/Complex Single,False,0,5,54.949785709381104
Radiologist #9,Presurgical glioma,Medium,Infiltrative Single,False,1,8,32.958890676498413
Radiologist #9,Presurgical glioma,Large,Irregular/Complex Single,False,0,6,39.429177045822144
Radiologist #9,Presurgical glioma,Very Large,Infiltrative Single,False,1,9,48.06372594833374
Radiologist #9,Presurgical glioma,,,False,1,9,16.543585538864136
Radiologist #9,Presurgical glioma,,,False,0,5,26.833418369293213
Radiologist #9,Paediatric presurgical tumour,,,False,1,5,67.373469352722168
Radiologist #9,Paediatric presurgical tumour,,,False,0,8,12.673370838165283
Radiologist #9,Postoperative glioma resection,,,False,0,5,37.430182456970215
Radiologist #9,Paediatric presurgical tumour,,,False,1,7,25.5753493309021
Radiologist #9,Meningioma,Medium,Well-circumscribed Single,False,1,7,34.193066596984863
Radiologist #9,Presurgical glioma,Very Large,Irregular/Complex Single,False,1,8,15.964586496353149
Radiologist #9,Presurgical glioma,Very Large,Infiltrative Single,False,1,7,53.196761846542358
Radiologist #9,Presurgical glioma,,,False,1,8,23.664158344268799
Radiologist #9,Postoperative glioma resection,,,False,1,8,22.043678522109985
Radiologist #9,Presurgical glioma,Very Large,Infiltrative Single,False,1,8,14.738487243652344
Radiologist #9,Presurgical glioma,,,False,1,7,21.109136581420898
Radiologist #9,Presurgical glioma,,,False,1,5,31.333862781524655
Radiologist #9,Postoperative glioma resection,,,False,1,7,26.657976150512692
Radiologist #9,Postoperative glioma resection,,,False,1,7,67.12212610244751
Radiologist #9,Postoperative glioma resection,,,False,1,5,23.83649754524231
Radiologist #9,Presurgical glioma,,,False,1,8,35.572156190872192
Radiologist #9,Presurgical glioma,,,False,1,7,36.495173931121833
Radiologist #9,Presurgical glioma,Micro,Irregular/Complex Single,False,0,5,68.782661199569702
Radiologist #9,Postoperative glioma resection,,,False,0,7,109.16120290756226
Radiologist #9,Presurgical glioma,Very Large,Infiltrative Single,False,1,8,17.96603536605835
Radiologist #9,Postoperative glioma resection,,,False,1,8,10.413140773773192
Radiologist #9,Presurgical glioma,,,False,1,6,21.734501600265503
Radiologist #9,Presurgical glioma,,,False,1,6,104.89903473854064
Radiologist #9,Presurgical glioma,,,False,1,9,12.872817516326904
Radiologist #9,Presurgical glioma,,,False,1,7,24.79627895355225
Radiologist #9,Meningioma,Very Large,Irregular/Complex Single,False,1,9,13.702045202255247
Radiologist #9,Presurgical glioma,,,False,1,7,27.726371288299561
